item,itemLabel,twitter
http://www.wikidata.org/entity/Q130637,Glasgow City Council,GlasgowCC
http://www.wikidata.org/entity/Q2425849,Aberdeen City Council,AberdeenCC
http://www.wikidata.org/entity/Q3481996,Shetland Islands Council,ShetIslandsCLL
http://www.wikidata.org/entity/Q3778400,Comhairle nan Eilean Siar,cne_siar
http://www.wikidata.org/entity/Q6842580,Midlothian Council,MidHelp
http://www.wikidata.org/entity/Q6842580,Midlothian Council,MidGov
http://www.wikidata.org/entity/Q7170911,Perth and Kinross Council,PerthAndKinross
http://www.wikidata.org/entity/Q7985814,West Lothian Council,LoveWestLothian
http://www.wikidata.org/entity/Q11994103,Orkney Islands Council,Orkneycouncil
http://www.wikidata.org/entity/Q13194614,Aberdeenshire Council,Aberdeenshire
http://www.wikidata.org/entity/Q28528114,Angus Council,AngusCouncil
http://www.wikidata.org/entity/Q28528285,East Renfrewshire Council,EastRenCouncil
http://www.wikidata.org/entity/Q28528289,East Dunbartonshire Council,EDCouncil
http://www.wikidata.org/entity/Q28528294,Dundee City Council,DundeeCouncil
http://www.wikidata.org/entity/Q28528309,Dumfries and Galloway Council,DGCouncil
http://www.wikidata.org/entity/Q28530247,Clackmannanshire Council,ClacksCouncil
http://www.wikidata.org/entity/Q28530249,The Highland Council,HighlandCouncil
http://www.wikidata.org/entity/Q28530250,City of Edinburgh Council,Edinburgh_CC
http://www.wikidata.org/entity/Q28530251,Argyll and Bute Council,ArgyllAndBute
http://www.wikidata.org/entity/Q28530252,East Ayrshire Council,EastAyrshire
http://www.wikidata.org/entity/Q28530253,East Lothian Council,ELCouncil
http://www.wikidata.org/entity/Q28530255,Falkirk Council,FalkirkCouncil
http://www.wikidata.org/entity/Q28530258,Fife Council,FifeCouncil
http://www.wikidata.org/entity/Q28530260,The Moray Council,MorayCouncil
http://www.wikidata.org/entity/Q28530261,Inverclyde Council,Inverclyde
http://www.wikidata.org/entity/Q99229582,North Ayrshire Council,North_Ayrshire
http://www.wikidata.org/entity/Q99229583,Renfrewshire Council,RenCouncil
http://www.wikidata.org/entity/Q99229584,North Lanarkshire Council,NLCPeople
http://www.wikidata.org/entity/Q99229585,Scottish Borders Council,ScotBorders
http://www.wikidata.org/entity/Q99229587,South Ayrshire Council,SouthAyrshire
http://www.wikidata.org/entity/Q99229588,South Lanarkshire Council,SouthLanCouncil
http://www.wikidata.org/entity/Q99229589,Stirling Council,StirlingCouncil
http://www.wikidata.org/entity/Q99229590,West Dunbartonshire Council,WDCouncil
